TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Target
194.85,2024-11-04 08:08:01.000000000,Debit,Jacksonville,Online,23.0,Student,130.0,4.0,319.84,2024-11-04 08:08:01.000000000,0
137.35,2024-11-04 08:10:23.000000000,Credit,Sacramento,Branch,40.0,Doctor,220.0,1.0,12662.66,2024-11-04 08:10:23.000000000,5
712.75,2024-11-04 08:09:52.000000000,Debit,Philadelphia,Branch,44.0,Doctor,25.0,1.0,8126.06,2024-11-04 08:09:52.000000000,5
353.82,2024-11-04 08:06:40.000000000,Debit,Milwaukee,ATM,42.0,Doctor,143.0,1.0,705.75,2024-11-04 08:06:40.000000000,2
507.25,2024-11-04 08:11:10.000000000,Debit,Washington,Branch,45.0,Retired,143.0,1.0,5331.57,2024-11-04 08:11:10.000000000,1
212.74,2024-11-04 08:09:22.439406336,Debit,Seattle,Branch,27.0,Engineer,128.0,1.0,7645.47,2024-11-04 08:09:22.439406336,1
364.42,2024-11-04 08:09:16.000000000,Debit,Colorado Springs,ATM,51.0,Engineer,146.0,1.0,8119.73,2024-11-04 08:09:16.000000000,3
195.12,2024-11-04 08:10:40.000000000,Debit,Louisville,ATM,46.0,Doctor,144.0,1.0,6101.15,2024-11-04 08:10:40.000000000,2
230.61,2024-11-04 08:09:46.000000000,Debit,Raleigh,Branch,80.0,Retired,204.0,1.0,2561.42,2024-11-04 08:09:46.000000000,5
739.28,2024-11-04 08:11:13.000000000,Credit,Tucson,Branch,58.0,Doctor,47.0,1.0,11905.64,2024-11-04 08:11:13.000000000,1
390.35,2024-11-04 08:10:01.000000000,Credit,Omaha,ATM,64.0,Doctor,61.0,1.0,7095.88,2024-11-04 08:10:01.000000000,2
242.03,2024-11-04 08:07:12.000000000,Debit,Dallas,Online,58.0,Engineer,124.0,1.0,4382.73,2024-11-04 08:07:12.000000000,3
242.39,2024-11-04 08:06:48.000000000,Credit,San Antonio,ATM,18.0,Student,271.0,1.0,1328.73,2024-11-04 08:06:48.000000000,5
135.03,2024-11-04 08:08:18.000000000,Debit,San Francisco,ATM,23.0,Student,180.0,1.0,1278.0,2024-11-04 08:08:18.000000000,1
83.5,2024-11-04 08:07:22.000000000,Debit,Dallas,Branch,61.0,Student,91.0,5.0,1749.79,2024-11-04 08:07:22.000000000,3
193.54,2024-11-04 08:08:26.000000000,Debit,Oklahoma City,Branch,80.0,Retired,267.0,1.0,2929.51,2024-11-04 08:08:26.000000000,2
617.36,2024-11-04 08:09:23.000000000,Debit,Kansas City,Branch,29.0,Engineer,61.0,1.0,8926.38,2024-11-04 08:09:23.000000000,0
775.23,2024-11-04 08:07:01.000000000,Credit,Albuquerque,Online,59.0,Doctor,38.0,1.0,5977.59,2024-11-04 08:07:01.000000000,4
266.57,2024-11-04 08:09:17.000000000,Debit,El Paso,ATM,72.0,Retired,100.0,1.0,7676.92,2024-11-04 08:09:17.000000000,3
153.4,2024-11-04 08:08:08.000000000,Debit,Mesa,ATM,45.0,Engineer,144.0,1.0,4657.7,2024-11-04 08:08:08.000000000,2
5.12,2024-11-04 08:10:31.000000000,Debit,New York,Branch,34.0,Engineer,90.0,1.0,3293.01,2024-11-04 08:10:31.000000000,2
119.11,2024-11-04 08:09:48.000000000,Debit,Detroit,ATM,57.0,Engineer,131.0,1.0,7998.25,2024-11-04 08:09:48.000000000,3
119.72,2024-11-04 08:10:20.000000000,Debit,Tucson,Branch,30.0,Engineer,123.0,1.0,3435.34,2024-11-04 08:10:20.000000000,1
107.4,2024-11-04 08:08:03.000000000,Debit,Virginia Beach,Online,58.0,Doctor,32.0,1.0,344.07,2024-11-04 08:08:03.000000000,1
115.92,2024-11-04 08:09:02.000000000,Debit,Raleigh,ATM,53.0,Retired,57.0,1.0,3897.17,2024-11-04 08:09:02.000000000,5
438.04,2024-11-04 08:06:33.000000000,Debit,Philadelphia,ATM,67.0,Retired,247.0,1.0,5358.95,2024-11-04 08:06:33.000000000,5
677.29,2024-11-04 08:07:16.000000000,Debit,Houston,Online,27.0,Engineer,287.0,1.0,627.79,2024-11-04 08:07:16.000000000,0
296.0,2024-11-04 08:06:54.000000000,Debit,Las Vegas,Branch,35.0,Doctor,248.0,1.0,7418.82,2024-11-04 08:06:54.000000000,0
299.09,2024-11-04 08:08:01.000000000,Credit,Boston,Branch,36.0,Engineer,84.0,1.0,5615.26,2024-11-04 08:08:01.000000000,4
461.52,2024-11-04 08:08:53.000000000,Credit,Denver,Branch,24.0,Student,44.0,1.0,1995.18,2024-11-04 08:08:53.000000000,3
100.52,2024-11-04 08:11:28.000000000,Debit,Las Vegas,ATM,50.0,Engineer,110.0,1.0,453.39,2024-11-04 08:11:28.000000000,0
85.35,2024-11-04 08:06:25.000000000,Debit,Washington,ATM,66.0,Retired,166.0,1.0,2173.76,2024-11-04 08:06:25.000000000,1
79.76,2024-11-04 08:09:34.000000000,Debit,Raleigh,Branch,39.0,Engineer,170.0,1.0,6452.14,2024-11-04 08:09:34.000000000,5
778.49,2024-11-04 08:09:21.000000000,Credit,Omaha,Online,75.0,Retired,107.0,1.0,7713.67,2024-11-04 08:09:21.000000000,2
386.38,2024-11-04 08:10:06.000000000,Debit,Phoenix,Online,42.0,Engineer,135.0,1.0,5528.36,2024-11-04 08:10:06.000000000,5
165.25,2024-11-04 08:11:35.000000000,Debit,Sacramento,Online,35.0,Doctor,106.0,1.0,9939.94,2024-11-04 08:11:35.000000000,5
14.29,2024-11-04 08:08:52.000000000,Debit,Los Angeles,ATM,34.0,Engineer,150.0,1.0,7016.99,2024-11-04 08:08:52.000000000,0
232.79,2024-11-04 08:11:40.000000000,Credit,Indianapolis,Branch,55.0,Retired,145.0,1.0,2661.3,2024-11-04 08:11:40.000000000,0
92.29,2024-11-04 08:11:25.000000000,Debit,Albuquerque,Branch,54.0,Engineer,115.0,1.0,2026.32,2024-11-04 08:11:25.000000000,4
293.97,2024-11-04 08:08:57.000000000,Debit,Phoenix,Branch,68.0,Retired,153.0,1.0,7371.85,2024-11-04 08:08:57.000000000,5
136.32,2024-11-04 08:09:24.000000000,Debit,Miami,Online,19.0,Student,113.0,1.0,264.83,2024-11-04 08:09:24.000000000,2
251.06,2024-11-04 08:10:13.000000000,Debit,Colorado Springs,Online,36.0,Doctor,34.0,1.0,10001.66,2024-11-04 08:10:13.000000000,3
50.17,2024-11-04 08:10:59.000000000,Credit,Sacramento,ATM,77.0,Retired,35.0,1.0,7752.14,2024-11-04 08:10:59.000000000,5
21.4,2024-11-04 08:11:40.000000000,Debit,Fresno,Branch,34.0,Engineer,258.0,1.0,9594.11,2024-11-04 08:11:40.000000000,0
73.28,2024-11-04 08:10:57.000000000,Debit,Boston,Branch,21.0,Student,21.0,1.0,1329.41,2024-11-04 08:10:57.000000000,4
70.23,2024-11-04 08:07:16.000000000,Debit,Memphis,ATM,38.0,Doctor,260.0,1.0,11624.93,2024-11-04 08:07:16.000000000,2
689.29,2024-11-04 08:07:49.000000000,Debit,El Paso,ATM,22.0,Student,100.0,1.0,168.84,2024-11-04 08:07:49.000000000,3
745.03,2024-11-04 08:09:15.000000000,Debit,Fort Worth,Online,28.0,Student,231.0,1.0,160.57,2024-11-04 08:09:15.000000000,0
54.61,2024-11-04 08:07:19.000000000,Debit,Milwaukee,ATM,58.0,Engineer,160.0,1.0,7135.64,2024-11-04 08:07:19.000000000,2
54.05,2024-11-04 08:11:34.000000000,Debit,Louisville,Branch,27.0,Student,146.0,1.0,469.14,2024-11-04 08:11:34.000000000,2
107.47,2024-11-04 08:12:09.000000000,Debit,Austin,Online,67.0,Retired,144.0,1.0,7517.5,2024-11-04 08:12:09.000000000,4
611.11,2024-11-04 08:11:12.000000000,Debit,Detroit,ATM,20.0,Student,282.0,4.0,919.84,2024-11-04 08:11:12.000000000,3
219.63,2024-11-04 08:07:29.000000000,Debit,Charlotte,ATM,48.0,Doctor,44.0,1.0,8013.63,2024-11-04 08:07:29.000000000,4
188.7,2024-11-04 08:09:59.000000000,Debit,New York,Branch,45.0,Retired,123.0,1.0,5077.06,2024-11-04 08:09:59.000000000,2
93.52,2024-11-04 08:08:04.000000000,Debit,Philadelphia,Online,51.0,Engineer,97.0,1.0,2791.2,2024-11-04 08:08:04.000000000,5
275.92,2024-11-04 08:07:39.000000000,Credit,Nashville,Branch,62.0,Retired,107.0,1.0,1777.38,2024-11-04 08:07:39.000000000,2
376.79,2024-11-04 08:08:44.000000000,Debit,Milwaukee,Branch,68.0,Retired,265.0,1.0,7749.14,2024-11-04 08:08:44.000000000,2
8.98,2024-11-04 08:10:53.000000000,Debit,Detroit,Online,66.0,Student,56.0,1.0,4516.76,2024-11-04 08:10:53.000000000,3
697.32,2024-11-04 08:11:18.000000000,Debit,Atlanta,Online,68.0,Retired,91.0,1.0,2016.02,2024-11-04 08:11:18.000000000,4
17.45,2024-11-04 08:09:39.000000000,Debit,Omaha,ATM,18.0,Student,88.0,1.0,1959.52,2024-11-04 08:09:39.000000000,2
302.16,2024-11-04 08:07:38.000000000,Debit,Kansas City,Online,80.0,Retired,138.0,5.0,3876.61,2024-11-04 08:07:38.000000000,0
442.74,2024-11-04 08:09:45.000000000,Debit,San Diego,Branch,23.0,Student,136.0,1.0,1790.27,2024-11-04 08:09:45.000000000,5
623.9,2024-11-04 08:10:15.000000000,Debit,San Jose,ATM,27.0,Student,249.0,1.0,711.47,2024-11-04 08:10:15.000000000,1
445.41,2024-11-04 08:08:08.000000000,Debit,Fresno,ATM,35.0,Doctor,235.0,3.0,12154.66,2024-11-04 08:08:08.000000000,0
63.41,2024-11-04 08:07:15.000000000,Debit,Fort Worth,ATM,26.0,Student,36.0,1.0,1546.22,2024-11-04 08:07:15.000000000,0
346.85,2024-11-04 08:10:25.000000000,Debit,Kansas City,ATM,44.0,Doctor,88.0,1.0,7208.15,2024-11-04 08:10:25.000000000,0
71.95,2024-11-04 08:06:23.000000000,Credit,Fort Worth,Online,59.0,Engineer,53.0,1.0,9267.32,2024-11-04 08:06:23.000000000,0
7.5,2024-11-04 08:11:28.000000000,Debit,Dallas,Online,63.0,Retired,36.0,1.0,6485.78,2024-11-04 08:11:28.000000000,3
206.46,2024-11-04 08:06:44.000000000,Debit,Virginia Beach,ATM,65.0,Retired,279.0,1.0,3984.38,2024-11-04 08:06:44.000000000,1
423.11,2024-11-04 08:10:58.000000000,Debit,Columbus,ATM,60.0,Engineer,47.0,1.0,412.78,2024-11-04 08:10:58.000000000,3
35.84,2024-11-04 08:10:57.000000000,Credit,Colorado Springs,Online,54.0,Retired,172.0,1.0,4795.65,2024-11-04 08:10:57.000000000,3
88.6,2024-11-04 08:08:47.000000000,Credit,Raleigh,Branch,28.0,Student,105.0,1.0,246.57,2024-11-04 08:08:47.000000000,5
53.81,2024-11-04 08:12:05.000000000,Credit,Raleigh,ATM,55.0,Engineer,37.0,2.0,4737.84,2024-11-04 08:12:05.000000000,5
22.46,2024-11-04 08:07:46.000000000,Debit,New York,Online,54.0,Retired,78.0,1.0,6631.5,2024-11-04 08:07:46.000000000,2
334.89,2024-11-04 08:08:44.000000000,Debit,Fort Worth,Online,21.0,Student,260.0,1.0,1661.68,2024-11-04 08:08:44.000000000,0
319.27,2024-11-04 08:06:35.000000000,Credit,Omaha,Online,54.0,Retired,59.0,1.0,5504.01,2024-11-04 08:06:35.000000000,2
144.3,2024-11-04 08:10:39.000000000,Debit,Oklahoma City,ATM,18.0,Student,88.0,1.0,312.19,2024-11-04 08:10:39.000000000,2
348.7,2024-11-04 08:06:58.000000000,Credit,Fresno,Branch,69.0,Retired,149.0,1.0,2445.58,2024-11-04 08:06:58.000000000,0
366.21,2024-11-04 08:11:36.000000000,Debit,Oklahoma City,ATM,62.0,Doctor,181.0,1.0,10862.99,2024-11-04 08:11:36.000000000,2
99.11,2024-11-04 08:09:35.000000000,Debit,Philadelphia,Online,55.0,Retired,12.0,1.0,5414.87,2024-11-04 08:09:35.000000000,5
539.35,2024-11-04 08:11:49.000000000,Debit,Milwaukee,ATM,55.0,Retired,127.0,1.0,3919.44,2024-11-04 08:11:49.000000000,2
188.99,2024-11-04 08:07:32.000000000,Debit,Oklahoma City,Branch,58.0,Engineer,92.0,1.0,7315.34,2024-11-04 08:07:32.000000000,2
710.14,2024-11-04 08:12:20.000000000,Debit,El Paso,ATM,26.0,Student,227.0,1.0,465.63,2024-11-04 08:12:20.000000000,3
308.68,2024-11-04 08:10:16.000000000,Debit,Milwaukee,Online,53.0,Doctor,170.0,1.0,9992.36,2024-11-04 08:10:16.000000000,2
166.68,2024-11-04 08:12:19.000000000,Debit,Mesa,ATM,57.0,Retired,139.0,1.0,5141.19,2024-11-04 08:12:19.000000000,2
0.99,2024-11-04 08:09:12.000000000,Debit,Los Angeles,ATM,45.0,Engineer,133.0,1.0,4317.85,2024-11-04 08:09:12.000000000,0
505.19,2024-11-04 08:10:19.000000000,Debit,Kansas City,ATM,30.0,Doctor,128.0,5.0,5326.68,2024-11-04 08:10:19.000000000,0
66.58,2024-11-04 08:08:48.000000000,Debit,Raleigh,Branch,23.0,Student,79.0,1.0,1636.32,2024-11-04 08:08:48.000000000,5
223.43,2024-11-04 08:09:38.000000000,Debit,Dallas,Branch,77.0,Retired,178.0,1.0,7932.41,2024-11-04 08:09:38.000000000,3
659.95,2024-11-04 08:06:26.000000000,Debit,Detroit,Online,60.0,Engineer,114.0,1.0,3927.69,2024-11-04 08:06:26.000000000,3
634.86,2024-11-04 08:08:00.000000000,Debit,Chicago,ATM,27.0,Student,45.0,1.0,588.5,2024-11-04 08:08:00.000000000,3
286.5,2024-11-04 08:09:17.000000000,Credit,Boston,Branch,30.0,Engineer,60.0,1.0,8517.95,2024-11-04 08:09:17.000000000,4
322.96,2024-11-04 08:11:24.000000000,Credit,Philadelphia,Branch,76.0,Retired,168.0,1.0,2401.59,2024-11-04 08:11:24.000000000,5
654.48,2024-11-04 08:10:17.000000000,Debit,Columbus,Branch,19.0,Student,114.0,1.0,6776.41,2024-11-04 08:10:17.000000000,3
157.97,2024-11-04 08:10:06.000000000,Debit,Philadelphia,Branch,48.0,Doctor,140.0,1.0,5529.92,2024-11-04 08:10:06.000000000,5
120.9,2024-11-04 08:08:19.000000000,Debit,Tucson,Branch,40.0,Doctor,52.0,1.0,9009.42,2024-11-04 08:08:19.000000000,1
254.77,2024-11-04 08:07:07.000000000,Debit,Denver,Branch,57.0,Engineer,57.0,1.0,5994.87,2024-11-04 08:07:07.000000000,3
795.96,2024-11-04 08:08:26.000000000,Debit,Raleigh,Online,65.0,Retired,119.0,1.0,5468.58,2024-11-04 08:08:26.000000000,5
149.25,2024-11-04 08:07:41.000000000,Debit,Omaha,ATM,39.0,Engineer,142.0,1.0,5677.52,2024-11-04 08:07:41.000000000,2
3.42,2024-11-04 08:08:48.000000000,Credit,San Antonio,Branch,43.0,Doctor,158.0,1.0,14180.21,2024-11-04 08:08:48.000000000,5
68.19,2024-11-04 08:07:50.000000000,Credit,Fresno,Online,40.0,Doctor,189.0,1.0,9895.1,2024-11-04 08:07:50.000000000,0
493.42,2024-11-04 08:10:01.000000000,Debit,Baltimore,Branch,39.0,Engineer,111.0,1.0,2232.84,2024-11-04 08:10:01.000000000,4
37.57,2024-11-04 08:09:21.000000000,Debit,El Paso,ATM,57.0,Retired,42.0,1.0,7739.54,2024-11-04 08:09:21.000000000,3
127.0,2024-11-04 08:10:12.000000000,Credit,Nashville,Branch,19.0,Student,68.0,5.0,431.16,2024-11-04 08:10:12.000000000,2
96.89,2024-11-04 08:11:06.000000000,Debit,Fort Worth,ATM,59.0,Student,53.0,1.0,6044.93,2024-11-04 08:11:06.000000000,0
448.33,2024-11-04 08:09:44.000000000,Debit,Atlanta,ATM,25.0,Student,161.0,1.0,922.19,2024-11-04 08:09:44.000000000,4
8.65,2024-11-04 08:09:03.000000000,Debit,Las Vegas,Online,48.0,Doctor,273.0,1.0,10778.35,2024-11-04 08:09:03.000000000,0
65.57,2024-11-04 08:06:26.000000000,Debit,Miami,Online,41.0,Engineer,82.0,1.0,4737.84,2024-11-04 08:06:26.000000000,2
539.81,2024-11-04 08:09:05.000000000,Debit,San Francisco,Online,46.0,Engineer,177.0,1.0,2051.25,2024-11-04 08:09:05.000000000,1
363.53,2024-11-04 08:10:57.000000000,Debit,Kansas City,ATM,63.0,Retired,142.0,1.0,1038.91,2024-11-04 08:10:57.000000000,0
64.9,2024-11-04 08:10:18.000000000,Credit,Detroit,Branch,51.0,Retired,72.0,1.0,6854.61,2024-11-04 08:10:18.000000000,3
358.18,2024-11-04 08:07:58.000000000,Debit,Boston,ATM,18.0,Student,157.0,1.0,619.86,2024-11-04 08:07:58.000000000,4
167.2,2024-11-04 08:06:52.000000000,Debit,San Antonio,Branch,30.0,Doctor,84.0,1.0,11320.83,2024-11-04 08:06:52.000000000,5
121.91,2024-11-04 08:08:59.000000000,Debit,Chicago,Branch,60.0,Doctor,133.0,1.0,14510.8,2024-11-04 08:08:59.000000000,3
137.57,2024-11-04 08:11:22.000000000,Debit,Louisville,Online,54.0,Engineer,70.0,1.0,5103.67,2024-11-04 08:11:22.000000000,2
534.62,2024-11-04 08:06:35.000000000,Debit,Oklahoma City,Online,55.0,Doctor,45.0,1.0,13793.53,2024-11-04 08:06:35.000000000,2
463.92,2024-11-04 08:09:14.000000000,Debit,Mesa,Online,50.0,Engineer,199.0,1.0,2403.39,2024-11-04 08:09:14.000000000,2
320.14,2024-11-04 08:07:40.000000000,Debit,Milwaukee,Online,60.0,Retired,96.0,1.0,3075.97,2024-11-04 08:07:40.000000000,2
214.93,2024-11-04 08:08:51.000000000,Debit,Albuquerque,Online,28.0,Student,52.0,1.0,7835.4,2024-11-04 08:08:51.000000000,4
660.02,2024-11-04 08:08:35.000000000,Debit,Nashville,Branch,20.0,Student,84.0,1.0,414.43,2024-11-04 08:08:35.000000000,2
345.81,2024-11-04 08:12:14.000000000,Debit,Raleigh,Branch,40.0,Engineer,135.0,1.0,6116.8,2024-11-04 08:12:14.000000000,5
143.54,2024-11-04 08:08:22.000000000,Debit,Philadelphia,ATM,71.0,Retired,80.0,1.0,6067.62,2024-11-04 08:08:22.000000000,5
42.55,2024-11-04 08:10:32.000000000,Debit,Seattle,Branch,53.0,Engineer,29.0,1.0,7341.43,2024-11-04 08:10:32.000000000,1
541.79,2024-11-04 08:11:29.000000000,Debit,Mesa,ATM,22.0,Student,125.0,1.0,1454.08,2024-11-04 08:11:29.000000000,2
40.57,2024-11-04 08:06:37.000000000,Debit,Columbus,Branch,26.0,Student,63.0,1.0,1476.91,2024-11-04 08:06:37.000000000,3
120.24,2024-11-04 08:08:20.000000000,Debit,Milwaukee,Branch,18.0,Student,131.0,2.0,1943.13,2024-11-04 08:08:20.000000000,2
498.67,2024-11-04 08:08:24.000000000,Debit,Miami,Online,28.0,Student,244.0,1.0,1719.97,2024-11-04 08:08:24.000000000,2
227.22,2024-11-04 08:11:56.000000000,Debit,El Paso,ATM,53.0,Doctor,220.0,1.0,832.82,2024-11-04 08:11:56.000000000,3
56.94,2024-11-04 08:07:42.000000000,Credit,Charlotte,Online,76.0,Student,74.0,1.0,7004.63,2024-11-04 08:07:42.000000000,4
629.82,2024-11-04 08:11:59.000000000,Debit,Colorado Springs,Branch,68.0,Retired,159.0,1.0,6385.69,2024-11-04 08:11:59.000000000,3
59.44,2024-11-04 08:06:34.000000000,Debit,Chicago,Online,35.0,Engineer,176.0,1.0,5472.03,2024-11-04 08:06:34.000000000,3
186.69,2024-11-04 08:08:12.000000000,Debit,New York,Branch,30.0,Engineer,54.0,1.0,8602.22,2024-11-04 08:08:12.000000000,2
230.46,2024-11-04 08:08:50.000000000,Debit,Mesa,Online,19.0,Student,179.0,1.0,162.53,2024-11-04 08:08:50.000000000,2
65.09,2024-11-04 08:09:41.000000000,Credit,Seattle,Online,44.0,Engineer,159.0,1.0,9370.9,2024-11-04 08:09:41.000000000,1
457.09,2024-11-04 08:08:45.000000000,Credit,Nashville,Online,55.0,Engineer,63.0,1.0,8570.82,2024-11-04 08:08:45.000000000,2
552.02,2024-11-04 08:09:25.000000000,Credit,Chicago,ATM,44.0,Engineer,100.0,1.0,522.08,2024-11-04 08:09:25.000000000,3
377.12,2024-11-04 08:11:40.000000000,Debit,Houston,ATM,34.0,Engineer,61.0,1.0,836.67,2024-11-04 08:11:40.000000000,0
204.56,2024-11-04 08:10:26.000000000,Credit,San Diego,Branch,18.0,Student,179.0,1.0,364.72,2024-11-04 08:10:26.000000000,5
420.28,2024-11-04 08:09:01.000000000,Debit,Washington,Branch,35.0,Doctor,144.0,1.0,8557.32,2024-11-04 08:09:01.000000000,1
97.09,2024-11-04 08:06:33.000000000,Debit,Fort Worth,ATM,24.0,Student,202.0,4.0,1579.57,2024-11-04 08:06:33.000000000,0
124.59,2024-11-04 08:09:21.000000000,Debit,Charlotte,Branch,27.0,Student,171.0,1.0,129.29,2024-11-04 08:09:21.000000000,4
73.88,2024-11-04 08:09:09.000000000,Debit,Charlotte,Online,39.0,Doctor,34.0,1.0,6474.41,2024-11-04 08:09:09.000000000,4
77.43,2024-11-04 08:06:33.000000000,Debit,Raleigh,Online,21.0,Student,169.0,1.0,4737.84,2024-11-04 08:06:33.000000000,5
106.16,2024-11-04 08:08:51.000000000,Debit,Phoenix,ATM,56.0,Doctor,277.0,4.0,7487.79,2024-11-04 08:08:51.000000000,5
245.93,2024-11-04 08:11:58.000000000,Debit,Fresno,Branch,54.0,Engineer,172.0,1.0,7986.63,2024-11-04 08:11:58.000000000,0
622.41,2024-11-04 08:07:48.000000000,Debit,Indianapolis,ATM,64.0,Doctor,125.0,1.0,7322.01,2024-11-04 08:07:48.000000000,0
43.73,2024-11-04 08:10:33.000000000,Debit,Omaha,ATM,34.0,Doctor,145.0,1.0,9929.43,2024-11-04 08:10:33.000000000,2
2.03,2024-11-04 08:08:50.000000000,Credit,Detroit,ATM,33.0,Engineer,28.0,1.0,3012.31,2024-11-04 08:08:50.000000000,3
770.65,2024-11-04 08:09:01.000000000,Debit,Jacksonville,Online,31.0,Doctor,137.0,1.0,7198.8,2024-11-04 08:09:01.000000000,0
260.31,2024-11-04 08:12:03.000000000,Debit,Austin,Branch,63.0,Doctor,113.0,1.0,10980.38,2024-11-04 08:12:03.000000000,4
356.1,2024-11-04 08:11:02.000000000,Credit,Fort Worth,Branch,26.0,Student,187.0,1.0,868.35,2024-11-04 08:11:02.000000000,0
27.07,2024-11-04 08:09:57.000000000,Credit,Virginia Beach,Branch,80.0,Retired,39.0,1.0,3773.29,2024-11-04 08:09:57.000000000,1
119.89,2024-11-04 08:09:02.000000000,Debit,Tucson,ATM,67.0,Doctor,60.0,1.0,6697.77,2024-11-04 08:09:02.000000000,1
106.39,2024-11-04 08:10:32.000000000,Debit,Virginia Beach,Online,37.0,Doctor,281.0,1.0,9410.99,2024-11-04 08:10:32.000000000,1
12.04,2024-11-04 08:08:25.000000000,Debit,Fort Worth,Online,37.0,Engineer,58.0,1.0,6213.32,2024-11-04 08:08:25.000000000,0
365.7,2024-11-04 08:10:17.000000000,Debit,Houston,Branch,21.0,Student,115.0,2.0,368.78,2024-11-04 08:10:17.000000000,0
29.38,2024-11-04 08:11:08.000000000,Credit,Baltimore,Branch,28.0,Student,63.0,1.0,1663.31,2024-11-04 08:11:08.000000000,4
319.85,2024-11-04 08:07:45.000000000,Debit,Denver,ATM,60.0,Doctor,148.0,1.0,711.66,2024-11-04 08:07:45.000000000,3
350.14,2024-11-04 08:08:40.000000000,Credit,Los Angeles,Online,75.0,Retired,38.0,1.0,2403.25,2024-11-04 08:08:40.000000000,0
163.94,2024-11-04 08:09:51.000000000,Credit,Virginia Beach,Branch,52.0,Retired,73.0,1.0,5957.37,2024-11-04 08:09:51.000000000,1
170.53,2024-11-04 08:09:49.000000000,Debit,Oklahoma City,Branch,24.0,Student,58.0,1.0,801.01,2024-11-04 08:09:49.000000000,2
262.22,2024-11-04 08:09:22.439406336,Credit,Baltimore,ATM,40.0,Engineer,136.0,1.0,5711.71,2024-11-04 08:09:22.439406336,4
41.49,2024-11-04 08:12:03.000000000,Debit,Albuquerque,Online,24.0,Student,13.0,1.0,928.33,2024-11-04 08:12:03.000000000,4
121.43,2024-11-04 08:07:28.000000000,Credit,Sacramento,Branch,52.0,Engineer,243.0,1.0,7365.28,2024-11-04 08:07:28.000000000,5
350.46,2024-11-04 08:06:32.000000000,Debit,Nashville,Branch,51.0,Retired,165.0,1.0,5839.38,2024-11-04 08:06:32.000000000,2
220.41,2024-11-04 08:10:04.000000000,Credit,El Paso,Online,26.0,Engineer,155.0,1.0,5116.98,2024-11-04 08:10:04.000000000,3
33.46,2024-11-04 08:09:12.000000000,Debit,Seattle,ATM,72.0,Retired,111.0,1.0,3641.07,2024-11-04 08:09:12.000000000,1
104.79,2024-11-04 08:10:07.000000000,Debit,Denver,ATM,70.0,Doctor,223.0,1.0,1352.19,2024-11-04 08:10:07.000000000,3
246.27,2024-11-04 08:10:57.000000000,Debit,Fresno,Online,29.0,Doctor,141.0,1.0,7299.86,2024-11-04 08:10:57.000000000,0
48.85,2024-11-04 08:07:15.000000000,Debit,Dallas,ATM,19.0,Student,176.0,1.0,1503.56,2024-11-04 08:07:15.000000000,3
332.0,2024-11-04 08:07:03.000000000,Debit,Charlotte,ATM,69.0,Retired,17.0,1.0,5943.13,2024-11-04 08:07:03.000000000,4
118.1,2024-11-04 08:09:14.000000000,Debit,Memphis,Online,54.0,Engineer,167.0,1.0,895.66,2024-11-04 08:09:14.000000000,2
84.59,2024-11-04 08:07:12.000000000,Credit,Las Vegas,Branch,67.0,Doctor,10.0,1.0,5669.1,2024-11-04 08:07:12.000000000,0
295.64,2024-11-04 08:10:41.000000000,Debit,Jacksonville,Online,21.0,Student,82.0,1.0,1061.96,2024-11-04 08:10:41.000000000,0
514.33,2024-11-04 08:12:17.000000000,Debit,Philadelphia,Branch,25.0,Student,160.0,1.0,1592.94,2024-11-04 08:12:17.000000000,5
94.59,2024-11-04 08:10:37.000000000,Debit,Washington,Online,39.0,Doctor,34.0,1.0,6171.89,2024-11-04 08:10:37.000000000,1
80.43,2024-11-04 08:08:18.000000000,Debit,Columbus,Branch,59.0,Retired,157.0,1.0,5987.67,2024-11-04 08:08:18.000000000,3
54.25,2024-11-04 08:08:53.000000000,Debit,Virginia Beach,Online,68.0,Doctor,37.0,1.0,14783.33,2024-11-04 08:08:53.000000000,1
178.88,2024-11-04 08:12:10.000000000,Credit,Dallas,Branch,76.0,Retired,93.0,4.0,4708.29,2024-11-04 08:12:10.000000000,3
518.85,2024-11-04 08:06:37.000000000,Debit,Kansas City,Online,22.0,Student,82.0,1.0,1806.0,2024-11-04 08:06:37.000000000,0
10.65,2024-11-04 08:10:21.000000000,Debit,Louisville,Online,54.0,Doctor,161.0,1.0,13240.72,2024-11-04 08:10:21.000000000,2
198.62,2024-11-04 08:06:38.000000000,Credit,Tucson,Branch,27.0,Student,84.0,1.0,1196.07,2024-11-04 08:06:38.000000000,1
107.03,2024-11-04 08:12:13.000000000,Debit,Miami,Branch,27.0,Student,73.0,1.0,1408.07,2024-11-04 08:12:13.000000000,2
139.57,2024-11-04 08:07:23.000000000,Debit,Fort Worth,ATM,19.0,Student,263.0,3.0,271.78,2024-11-04 08:07:23.000000000,0
312.47,2024-11-04 08:08:05.000000000,Debit,Milwaukee,ATM,49.0,Student,148.0,4.0,9419.27,2024-11-04 08:08:05.000000000,2
346.11,2024-11-04 08:08:03.000000000,Debit,Dallas,Branch,41.0,Engineer,213.0,1.0,9551.64,2024-11-04 08:08:03.000000000,3
